1,Every Breath You Take,The Police,Synchronicity,1983,Soft rock,,2023-10-03 10:02:00
2,Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),2023,Pop rock,,2023-10-03 10:09:00
3,Heavenly,Cigarettes After Sex,Cry,2019,Alternativa ,,2023-10-03 10:11:00
4,Demons,Imagine Dragons,Night Visions,2012,Rock alternativo,,2023-10-03 10:13:00
5,Sunflower,"Post Malone, Swae Lee",�Spider?Man: Into the Spider?Verse (Soundtrack From & Inspired by the Motion Picture),2018,Hip hop,,2023-10-03 10:15:00
6,Hummingbird,"Metro Boomin, James Blake",�METRO BOOMIN PRESENTS SPIDER?MAN: ACROSS THE SPIDER?VERSE: SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE,2023,Urbano latino,,2023-10-03 10:18:00
7,Mi suerte,Morat,Balas perdidas,2018,Balada,,2023-10-03 10:21:00
8,Heart Made Up On You,R5,Sometime Last Night,2015,Pop,,2023-10-03 10:24:00
9,Enjoy The Silence,Depeche Mode,Violator,1990,Synth pop,,2023-10-03 10:26:00
10,Afuera,Caifanes,El nervio del volc�n,1994,Rock,,2023-10-03 10:28:00
